car_id	vel	pos_x	pos_y	pvel	ppos_x	ppos_y	prob
55993_55993_373_0	7.00006131893964	17107.4589155926	20038.8247190208	6.66818212148276	17069.016471602	20038.2325330465	0.6840691275250413
55993_55993_373_0	6.24310479849586	17113.3741328593	20038.9158398845	6.66818212148276	17069.016471602	20038.2325330465	0.6571320090656165
55993_55993_373_0	6.06071946207443	17119.1150285079	20038.8809988597	6.66818212148276	17069.016471602	20038.2325330465	0.6507184849466564
55993_55993_373_0	4.15302768933337	17123.0374033584	20038.5977163273	6.66818212148276	17069.016471602	20038.2325330465	0.585531280336608
49857_49857_367_0	14.9948124678486	17128.60537928	20073.9032316633	14.9148928571173	17128.9171329823	20087.7249131473	0.6732515844538464
49857_49857_367_0	15.0775163380808	17128.2919061005	20060.0053167116	14.9148928571173	17128.9171329823	20087.7249131473	0.6782158206050484
49857_49857_367_0	14.9399700541195	17127.9812926143	20046.2341870018	14.9148928571173	17128.9171329823	20087.7249131473	0.6699688615134384
78335_78335_387_0	16.0523827532611	17128.7563179002	20080.5951346528	16.2247895581487	17129.0900593035	20095.3916465766	0.6580444898305845
78335_78335_387_0	15.4789313662869	17128.4344989931	20066.3272096944	16.2247895581487	17129.0900593035	20095.3916465766	0.61888029633158
78335_78335_387_0	15.4384790260649	17128.1135211213	20052.0965722554	16.2247895581487	17129.0900593035	20095.3916465766	0.6161620325263336
69161_69161_381_0	12.6711098549459	17128.7283478046	20079.3550731868	13.1614491286259	17128.9917899396	20091.0348487652	0.6441982146324152
69161_69161_381_0	12.9208285814654	17128.459713825	20067.4451158235	13.1614491286259	17128.9917899396	20091.0348487652	0.6564777894655893
69161_69161_381_0	12.7007837525606	17128.1956547468	20055.7379879084	13.1614491286259	17128.9917899396	20091.0348487652	0.6456515592438825
69161_69161_381_0	12.3735733262068	17127.9383986255	20044.3324708537	13.1614491286259	17128.9917899396	20091.0348487652	0.6297140359035005
83302_83302_390_0	7.21560177011441	17077.3392528409	20038.3607411885	7.13980742041047	17070.5026140919	20038.2554263032	0.6746585360064399
83302_83302_390_0	7.8083371543328	17084.7374965433	20038.4747073077	7.13980742041047	17070.5026140919	20038.2554263032	0.6961563878508691
83302_83302_390_0	7.90669812494914	17092.2289353034	20038.5901090486	7.13980742041047	17070.5026140919	20038.2554263032	0.6997532739653978
83302_83302_390_0	6.95550027012384	17098.8191330694	20038.6916276379	7.13980742041047	17070.5026140919	20038.2554263032	0.6653233151665252
83302_83302_390_0	7.53846488557781	17105.9616781802	20038.8016548525	7.13980742041047	17070.5026140919	20038.2554263032	0.686330328657796
83302_83302_390_0	7.06820508474509	17112.6586615099	20038.9048184182	7.13980742041047	17070.5026140919	20038.2554263032	0.6693608701558587
83302_83302_390_0	7.27454627351861	17119.549338104	20038.8636264758	7.13980742041047	17070.5026140919	20038.2554263032	0.6767825417886808
83302_83302_390_0	4.72445386462141	17124.0069574396	20038.4845507089	7.13980742041047	17070.5026140919	20038.2554263032	0.5878867435416948
56357_56357_373_0	8.74504795601965	17083.7356669959	20038.4592746415	9.05357734848653	17075.4499084933	20038.3316368156	0.6591164634246309
41386_41386_361_0	12.2564525249764	17128.8882397272	20086.4439231648	12.4316659340985	17129.1430608168	20097.7414824565	0.6605661082460992
56357_56357_373_0	8.56638060220426	17091.8521417447	20038.5843047386	9.05357734848653	17075.4499084933	20038.3316368156	0.6523971436477191
41386_41386_361_0	12.0417655084399	17128.637882146	20075.3442546814	12.4316659340985	17129.1430608168	20097.7414824565	0.6506319494231325
56357_56357_373_0	9.44154434796797	17100.7978166858	20038.722108236	9.05357734848653	17075.4499084933	20038.3316368156	0.6856200328141462
